neighbourhood,avg_price,listings_with_price
Ashley,112.94,217
Avonmouth & Lawrence Weston,122.71,58
Bedminster,108.87,39
Bishopston & Ashley Down,92.57,47
Bishopsworth,86.67,27
Brislington East,110.96,24
Brislington West,101.11,47
Central,127.73,208
Clifton,127.14,140
Clifton Down,119.91,159
Cotham,122.23,100
Easton,74.03,74
Eastville,86.96,68
Filwood,59.5,18
Frome Vale,93.36,44
Hartcliffe & Withywood,95,17
Henbury & Brentry,109.94,17
Hengrove & Whitchurch Park,62.96,24
Hillfields,74.44,18
Horfield,86.66,59
Hotwells & Harbourside,147.82,84
Knowle,110.8,40
Lawrence Hill,100.02,106
Lockleaze,79.03,31
Redland,112.27,66
Southmead,91.27,30
Southville,109.53,111
St George Central,121.46,28
St George Troopers Hill,80.47,15
St George West,102.47,47
Stockwood,91.38,13
Stoke Bishop,142.94,34
Westbury-on-Trym & Henleaze,89.29,51
Windmill Hill,108.96,72
