neighbourhood,room_type,n,median_price,p90_price,mean_price
Ashley,Entire home/apt,155,101,222.19999999999996,134.4967741935484
Ashley,Private room,62,49,70.8,59.064516129032256
Avonmouth & Lawrence Weston,Entire home/apt,36,135.5,231.5,165.86111111111111
Avonmouth & Lawrence Weston,Private room,22,46.5,73,52.09090909090909
Bedminster,Entire home/apt,22,103,225,134.5
Bedminster,Private room,17,51,83,75.70588235294117
Bishopston & Ashley Down,Entire home/apt,28,106,166.8,118.85714285714286
Bishopston & Ashley Down,Private room,19,50,72.39999999999998,53.8421052631579
Bishopsworth,Entire home/apt,17,101,153.8,108.94117647058823
Bishopsworth,Private room,10,40,67.19999999999999,48.8
Brislington East,Entire home/apt,17,104,240.2,136.7058823529412
Brislington East,Private room,7,36,86.00000000000001,48.42857142857143
Brislington West,Entire home/apt,28,109,174.00000000000003,135.03571428571428
Brislington West,Hotel room,1,109,109,109
Brislington West,Private room,18,43,62.900000000000006,47.888888888888886
Central,Entire home/apt,192,115,216.60000000000002,133.35416666666666
Central,Hotel room,1,58,58,58
Central,Private room,15,58,76.4,60.4
Clifton,Entire home/apt,129,114,209.00000000000006,133.1705426356589
Clifton,Private room,11,48,70,56.36363636363637
Clifton Down,Entire home/apt,132,115.5,187.9,128.72727272727272
Clifton Down,Hotel room,2,76,80,76
Clifton Down,Private room,25,77,109,76.88
Cotham,Entire home/apt,80,113.5,225.50000000000003,138.2625
Cotham,Private room,20,49,95.5,58.1
Easton,Entire home/apt,44,82.5,152.3,95.88636363636364
Easton,Private room,30,40.5,49.50000000000001,41.96666666666667
Eastville,Entire home/apt,40,118.5,171.2,119.975
Eastville,Private room,28,38.5,54,39.785714285714285
Filwood,Entire home/apt,6,112,129,103.33333333333333
Filwood,Private room,12,34.5,53.7,37.583333333333336
Frome Vale,Entire home/apt,31,106,191,113.48387096774194
Frome Vale,Private room,13,44,58.60000000000001,45.38461538461539
Hartcliffe & Withywood,Entire home/apt,10,120,183.89999999999998,125.9
Hartcliffe & Withywood,Private room,7,50,66.80000000000001,50.857142857142854
Henbury & Brentry,Entire home/apt,8,146.5,300.0999999999999,184.625
Henbury & Brentry,Private room,9,35,69.39999999999998,43.55555555555556
Hengrove & Whitchurch Park,Entire home/apt,11,93,131,92.72727272727273
Hengrove & Whitchurch Park,Private room,13,38,50.800000000000004,37.76923076923077
Hillfields,Entire home/apt,11,89,149,96.9090909090909
Hillfields,Private room,7,33,62,39.142857142857146
Horfield,Entire home/apt,29,123,260.6,138.3448275862069
Horfield,Private room,30,37,45.1,36.7
Hotwells & Harbourside,Entire home/apt,77,121,247.40000000000003,154.5194805194805
Hotwells & Harbourside,Private room,7,74,88.60000000000001,74.14285714285714
Knowle,Entire home/apt,22,103.5,274.0000000000001,159.13636363636363
Knowle,Private room,18,42.5,84.50000000000001,51.72222222222222
Lawrence Hill,Entire home/apt,92,101,169.70000000000002,108.8695652173913
Lawrence Hill,Private room,14,39,59.00000000000001,41.857142857142854
Lockleaze,Entire home/apt,13,146,200.60000000000002,138.69230769230768
Lockleaze,Private room,18,36.5,46,35.94444444444444
Redland,Entire home/apt,48,102,224.40000000000003,131.9375
Redland,Private room,18,50,104.70000000000002,59.833333333333336
Southmead,Entire home/apt,17,112,214.20000000000002,131.8235294117647
Southmead,Private room,13,35,44,38.23076923076923
Southville,Entire home/apt,80,102.5,180.40000000000003,128.8125
Southville,Private room,31,58,86,59.774193548387096
St George Central,Entire home/apt,23,103,243.60000000000002,139.47826086956522
St George Central,Private room,5,44,50.39999999999999,38.6
St George Troopers Hill,Entire home/apt,8,96.5,212.09999999999997,123.125
St George Troopers Hill,Private room,7,32,39.400000000000006,31.714285714285715
St George West,Entire home/apt,33,90,280,126.0909090909091
St George West,Private room,14,40,75,46.785714285714285
Stockwood,Entire home/apt,7,128,164.20000000000002,128.57142857142858
Stockwood,Private room,6,48.5,64,48
Stoke Bishop,Entire home/apt,21,123,530,205.42857142857142
Stoke Bishop,Private room,13,36,57,42
Westbury-on-Trym & Henleaze,Entire home/apt,28,110.5,207.20000000000005,118.17857142857143
Westbury-on-Trym & Henleaze,Private room,23,54,71.2,54.130434782608695
Windmill Hill,Entire home/apt,51,115,229,133.27450980392157
Windmill Hill,Private room,21,46,74,49.904761904761905
